Species	Virus_name_abbreviation
Potato yellow mosaic virus	PYMV/Co
Potato yellow mosaic virus	PYMV/To
Pouzolzia golden mosaic virus	PouGMV
Pouzolzia mosaic Guangdong virus	PouMGDV
Pouzolzia yellow mosaic virus	PouYMV
Premna leaf curl virus	PreLCV
Pumpkin yellow mosaic virus	PuYMV
Radish leaf curl virus	RaLCuV
Radish leaf curl virus	RaLCuV/To
Ramie mosaic Yunnan virus	RMYnV
Rhynchosia golden mosaic Havana virus	RhGMHaV
Rhynchosia golden mosaic Sinaloa virus	CabLCV
Rhynchosia golden mosaic virus	RhGMV/MX
Rhynchosia golden mosaic virus	RhGMV/Tob
Rhynchosia golden mosaic virus	RhGMV/Sb
Rhynchosia mild mosaic virus	RhMMV
Rhynchosia rugose golden mosaic virus	RhRGMV
Rhynchosia yellow mosaic India virus	RhYMIV
Rhynchosia yellow mosaic virus	RhYMV
Rose leaf curl virus	RoLCuV
Sauropus leaf curl virus	SauLCuV
Senecio yellow mosaic virus	SeYMV
Senna leaf curl virus	SenLCuV
Sida angular mosaic virus	SiAMV
Sida bright yellow mosaic virus	SiBYMV
Sida chlorotic mottle virus	SiCMoV
Sida chlorotic vein virus	SiCVV
Sida ciliaris golden mosaic virus	SicGMV
Sida common mosaic virus	SiCMV
Sida golden mosaic Braco virus	SiGMBcV
Sida golden mosaic Brazil virus	SiGMBRV
Sida golden mosaic Buckup virus	SiGMBuV
Sida golden mosaic Costa Rica virus	SiGMCRV
Sida golden mosaic Florida virus	SiGMFlV/Malv
Sida golden mosaic Florida virus	SiGMFlV
Sida golden mosaic Lara virus	SiGMLaV
Sida golden mosaic virus	SiGMV
Sida golden mottle virus	SiGMoV
Sida golden yellow spot virus	SiGYSV
Sida golden yellow vein virus	SiGYVV
Sida leaf curl virus	SiLCuV
Sida micrantha mosaic virus	SiMMV
Sida micrantha mosaic virus	SiMMV/Rho
Sida micrantha mosaic virus	SiMMV/San
Sida mosaic Alagoas virus	SiMALV
Sida mosaic Bolivia virus 1	SiMBoV1
Sida mosaic Bolivia virus 2	SiMBoV2
Sida mosaic Sinaloa virus	SiMSiV
Sida mottle Alagoas virus	SiMoAV
Sida mottle virus	SiMoV/Mic
Sida mottle virus	SiMoV/Rho
Sida yellow blotch virus	SiYBV
Sida yellow leaf curl virus	SiYLCV
Sida yellow mosaic Alagoas virus	SiYMAV
Sida yellow mosaic China virus	SiYMCNV
Sida yellow mosaic virus	SiYMV
Sida yellow mosaic Yucatan virus	SiYMYuV
Sida yellow mottle virus	SiYMoV
Sida yellow net virus	SiYNV
Sida yellow vein Vietnam virus	SiYVVV
Sida yellow vein virus	SiYVV
Sidastrum golden leaf spot virus	SidGLSV
Siegesbeckia yellow vein Guangxi virus	SgYVGxV
Siegesbeckia yellow vein virus	SgYVV
Solanum mosaic Bolivia virus	SoMBoV
South African cassava mosaic virus	SACMV
Soybean blistering mosaic virus	SbBMV
Soybean chlorotic blotch virus	SbCBV
Soybean mild mottle virus	SbMMoV
Spilanthes yellow vein virus	SpYVV
Spinach yellow vein virus	SpiYVV
Squash leaf curl China virus	SLCCNV/CN
Squash leaf curl China virus	SLCCNV
Squash leaf curl China virus	SLCCNV/IN
Squash leaf curl China virus	SLCCNV/TH
Squash leaf curl Philippines virus	SLCuPV
Squash leaf curl virus	SLCuV
Squash leaf curl Yunnan virus	SLCuYV
Squash mild leaf curl virus	SMLCuV
Sri Lankan cassava mosaic virus	SLCMV/LK
Sri Lankan cassava mosaic virus	SLCMV/IN
Stachytarpheta leaf curl virus	StaLCuV
Sunn hemp leaf distortion virus	SHLDV
Sweet potato golden vein Korea virus	SPGVKRV
Sweet potato leaf curl Canary virus	SPLCCV
Sweet potato leaf curl China virus	SPLCCNV
Sweet potato leaf curl Georgia virus	SPLCGV
Sweet potato leaf curl Guangxi virus	SPLCGV
Sweet potato leaf curl Henan virus	SPLCHnV
Sweet potato leaf curl Sao Paulo virus	SPLCSPV
Sweet potato leaf curl Shandong virus	SPLCSdV
Sweet potato leaf curl Sichuan virus 1	SPLCSiV/1
Sweet potato leaf curl Sichuan virus 2	SPLCSiV/2
Sweet potato leaf curl South Carolina virus	SPLCSCV
Sweet potato leaf curl virus	SPLCV/US
Sweet potato leaf curl virus	SPLCV/CN
Sweet potato leaf curl virus	SPLCV
Sweet potato leaf curl virus	SPLCV/BR
Sweet potato leaf curl virus	SPLCV/Fu
Sweet potato leaf curl virus	SPLCV/IT
Sweet potato leaf curl virus	SPLCV/JP
Sweet potato leaf curl virus	SPLCV/PB
Sweet potato leaf curl virus	SPLCV/PE
Sweet potato leaf curl virus	SPLCV/PR
Sweet potato leaf curl virus	SPLCV/RO
Sweet potato leaf curl virus	SPLCV/SP
Sweet potato leaf curl virus	SPLCV/SC
Sweet potato leaf curl virus	SPLCV/ES
Sweet potato mosaic virus	SPMV
Synedrella yellow vein clearing virus	SyYVCV
Telfairia golden mosaic virus	TelGMV
Tobacco curly shoot virus	TbCSV
Tobacco leaf curl Comoros virus	TbLCKMV
Tobacco leaf curl Cuba virus	TbLCCUV
Tobacco leaf curl Pusa virus	TbLCPuV/To
Tobacco leaf curl Thailand virus	TbLCTHV
Tobacco leaf curl Yunnan virus	TbLCYnV/CN
Tobacco leaf curl Zimbabwe virus	TbLCZV
Tobacco leaf rugose virus	TbLRV
Tobacco mottle leaf curl virus	TbMoLCV
Tobacco yellow crinkle virus	TbYCV
Tomato bright yellow mosaic virus	ToBYMV
Tomato bright yellow mottle virus	ToBYMoV
Tomato chino La Paz virus	ToChLPV/A
Tomato chino La Paz virus	ToChLPV
Tomato chino La Paz virus	ToChLPV/A
Tomato chlorotic leaf distortion virus	ToClLDV
Tomato chlorotic mottle Guyane virus	ToCMoGV
Tomato chlorotic mottle virus	ToCMoV/BA
Tomato chlorotic mottle virus	ToCMoV
Tomato chlorotic mottle virus	ToCMoV/MG
Tomato common mosaic virus	ToCmMV
Tomato curly stunt virus	ToCSV
Tomato dwarf leaf virus	ToDfLV
Tomato enation leaf curl virus	ToELCV
Tomato golden leaf distortion virus	ToGLDV
Tomato golden leaf spot virus	ToGLSV
Tomato golden mosaic virus	TGMV
Tomato golden mottle virus	ToGMoV
Tomato golden vein virus	TGVV
Tomato interveinal chlorosis virus	ToICV
Tomato latent virus	ToLV
Tomato leaf curl Anjouan virus	ToLCAnV
Tomato leaf curl Arusha virus	ToLCArV
Tomato leaf curl Bangalore virus	ToLCBaV/A
Tomato leaf curl Bangalore virus	ToLCBaV
Tomato leaf curl Bangalore virus	ToLCBaV/B
Tomato leaf curl Bangalore virus	ToLCBaV/C
Tomato leaf curl Bangalore virus	ToLCBaV/D
Tomato leaf curl Bangladesh virus	ToLCBV
Tomato leaf curl Burkina Faso virus	TLCBFV
Tomato leaf curl Cebu virus	ToLCCeV
Tomato leaf curl China virus	ToLCCNV/BS
Tomato leaf curl China virus	ToLCCNV
Tomato leaf curl China virus	ToLCCNV/NN1
Tomato leaf curl China virus	ToLCCNV/NN2
Tomato leaf curl Comoros virus	ToLCKMV
Tomato leaf curl Comoros virus	ToLCKMV/MG
Tomato leaf curl Diana virus	ToLCDiV
Tomato leaf curl Ghana virus	ToLCGV
Tomato leaf curl Ghana virus	ToLCGV/Ag
Tomato leaf curl Guangdong virus	ToLCGdV
Tomato leaf curl Guangxi virus	ToLCGxV
Tomato leaf curl Gujarat virus	ToLCGUV
Tomato leaf curl Hainan virus	ToLCHaiV
Tomato leaf curl Hanoi virus	ToLCHaV
Tomato leaf curl Hsinchu virus	ToLCHsV
Tomato leaf curl Iran virus	ToLCIRV
Tomato leaf curl Japan virus	ToLCJV
Tomato leaf curl Java virus	ToLCJaV/A
Tomato leaf curl Java virus	ToLCJaV/B
Tomato leaf curl Joydebpur virus	ToLCJV
Tomato leaf curl Karnataka virus	ToLCKaV/Ban
Tomato leaf curl Karnataka virus 2	ToLCKV2
Tomato leaf curl Karnataka virus 3	ToLCKV3
Tomato leaf curl Kerala virus	ToLCKeV
Tomato leaf curl Laos virus	ToLCLV
Tomato leaf curl Liwa virus	ToLCLwV
Tomato leaf curl Madagascar virus	ToLCMGV/Men
Tomato leaf curl Madagascar virus	ToLCMGV/Ats
Tomato leaf curl Malaysia virus	ToLCMYV/MY
Tomato leaf curl Mali virus	ToLCMLV
Tomato leaf curl Mindanao virus	ToLCMiV
Tomato leaf curl Moheli virus	ToLCMohV
Tomato leaf curl Namakely virus	ToLCNaV
Tomato leaf curl New Delhi virus	ToLCNDV
Tomato leaf curl New Delhi virus 2	ToLCNDV2
Tomato leaf curl New Delhi virus 4	ToLCNDV4
Tomato leaf curl New Delhi virus 5	ToLCNDV5
Tomato leaf curl Nigeria virus	ToLCNGV
Tomato leaf curl Palampur virus	ToLCPalV
Tomato leaf curl Patna virus	ToLCPatV
Tomato leaf curl Philippines virus	ToLCPV/B
Tomato leaf curl Philippines virus	ToLCPV/A
Tomato leaf curl Philippines virus	ToLCPV/C
Tomato leaf curl Pune virus	ToLCPuV
Tomato leaf curl purple vein virus	ToLCPVV
Tomato leaf curl Rajasthan virus	ToLCRaV
Tomato leaf curl Seychelles virus	ToLCSCV
Tomato leaf curl Sinaloa virus	ToLCSiV
Tomato leaf curl Sri Lanka virus	ToLCLKV
Tomato leaf curl Sudan virus	ToLCSDV/Gez
Tomato leaf curl Sudan virus	ToLCSDV
Tomato leaf curl Sudan virus	ToLCSDV/Sha
Tomato leaf curl Sudan virus	ToLCSDV/YE
Tomato leaf curl Sulawesi virus	ToLCSuV
Tomato leaf curl Taiwan virus	ToLCTV/A
Tomato leaf curl Taiwan virus	ToLCTV
Tomato leaf curl Taiwan virus	ToLCTV/B
Tomato leaf curl Taiwan virus	ToLCTV/C
Tomato leaf curl Tanzania virus	ToLCTZV
Tomato leaf curl Toliara virus	ToLCToV
Tomato leaf curl Uganda virus	ToLCUV
Tomato leaf curl Vietnam virus	ToLCVV
Tomato leaf curl virus	ToLCV/To
Tomato leaf curl virus	ToLCV/Sol
Tomato leaf curl virus	ToLCV
Tomato leaf curl virus	ToLCV/Ban
Tomato leaf curl virus	ToLCV/Jan
Tomato leaf deformation virus	ToLDeV
Tomato leaf distortion virus	ToLDV
Tomato mild mosaic virus	ToMMV
Tomato mild yellow leaf curl Aragua virus	ToMYLCAV
Tomato mosaic Havana virus	ToMHaV
Tomato mottle leaf curl virus	ToMoLCV
Tomato mottle Taino virus	ToMoTaV
Tomato mottle virus	ToMoV
Tomato mottle wrinkle virus	ToMoWV
Tomato rugose mosaic virus	ToRMV
Tomato rugose yellow leaf curl virus	TRYLCV
Tomato severe leaf curl Kalakada virus	ToSLCKV
Tomato severe leaf curl virus	ToSLCV/GT
Tomato severe leaf curl virus	ToSLCV
Tomato severe leaf curl virus	ToSLCV/NI
Tomato severe rugose virus	ToSRV
Tomato wrinkled mosaic virus	ToWMV
Tomato yellow leaf curl Axarquia virus	TYLCAxV
Tomato yellow leaf curl China virus	TYLCCNV/HH
Tomato yellow leaf curl China virus	TYLCCNV/BS1
Tomato yellow leaf curl China virus	TYLCCNV
Tomato yellow leaf curl China virus	TYLCCNV/BS3
Tomato yellow leaf curl China virus	TYLCCNV/Bea
Tomato yellow leaf curl China virus	TYLCCNV/DL
Tomato yellow leaf curl China virus	TYLCCNV/Dat
Tomato yellow leaf curl Guangdong virus	TYLCGdV
Tomato yellow leaf curl Indonesia virus	TYLCIDV
Tomato yellow leaf curl Kanchanaburi virus	TYLCKaV
Tomato yellow leaf curl Malaga virus	TYLCMaV
Tomato yellow leaf curl Mali virus	TYLCMLV
Tomato yellow leaf curl Mali virus	TYLCMLV/ET
Tomato yellow leaf curl Mali virus	TYLCMLV/ML
Tomato yellow leaf curl Sardinia virus	TYLCSaV
Tomato yellow leaf curl Shuangbai virus	TYLCShV
Tomato yellow leaf curl Thailand virus	TYLCTHV/A
Tomato yellow leaf curl Thailand virus	TYLCTHV/B
Tomato yellow leaf curl Thailand virus	TYLCTHV/C
Tomato yellow leaf curl Thailand virus	TYLCTHV/D
Tomato yellow leaf curl Thailand virus	TYLCTHV/E
Tomato yellow leaf curl Vietnam virus	TYLCVV
Tomato yellow leaf curl virus	TYLCV
Tomato yellow leaf curl virus	TYLCV/Bou
Tomato yellow leaf curl virus	TYLCV/IR
Tomato yellow leaf curl virus	TYLCV/Kah
Tomato yellow leaf curl virus	TYLCV/Ker
Tomato yellow leaf curl virus	TYLCV/Mld
Tomato yellow leaf curl Yunnan virus	TYLCYnV
Tomato yellow leaf distortion virus	ToYLDV
Tomato yellow margin leaf curl virus	ToYMLCV
Tomato yellow mottle virus	ToYMoV
Tomato yellow spot virus	ToYSV
Tomato yellow vein streak virus	ToYVSV
Triumfetta yellow mosaic virus	TrYMV
Velvet bean golden mosaic virus	VBGMV
Velvet bean severe mosaic virus	VBSMV
Vernonia crinkle virus	VeCrV
Vernonia yellow vein Fujian virus	VeYVFjV
Vernonia yellow vein virus	VeYVV
Vigna yellow mosaic virus	ViYMV
Vinca leaf curl virus	VinLCV
Watermelon chlorotic stunt virus	WmCSV
West African Asystasia virus 1	WAAV1
West African Asystasia virus 2	WAAV2
West African Asystasia virus 3	WAAV3
Whitefly-associated begomovirus 1	WfaBV1
Whitefly-associated begomovirus 2	WfaBV2
Whitefly-associated begomovirus 3	WfaBV3
Whitefly-associated begomovirus 4	WfaBV4
Whitefly-associated begomovirus 6	WfaBV6
Whitefly-associated begomovirus 7	WfaBV7
Wissadula golden mosaic virus	WGMV
Wissadula yellow mosaic virus	WYMV
Alfalfa leaf curl virus	ALCV
Euphorbia caput-medusae latent virus	EcmLV
French bean severe leaf curl virus	FbSLSV
Plantago lanceolata latent virus	PlLV
Beet curly top virus	BCTV/CA/Logan
Beet curly top virus	BCTV/Mld
Beet curly top virus	BCTV/Svr
Beet curly top virus	BCTV/SvrPep
Beet curly top virus	BCTV/CO
Beet curly top virus	BCTV/Wor
Beet curly top virus	BCTV/ SpCT
Beet curly top virus	BCTV/ PeCT
Beet curly top virus	BCTV/ PeYD
Horseradish curly top virus	HCTV
Spinach severe curly top virus	SpSCTV
Eragrostis curvula streak virus	ECSV/A
Eragrostis curvula streak virus	ECSV/B
Grapevine red blotch virus	GRBV
Prunus latent virus	PrLV
Wild Vitis latent virus	WvLV
Axonopus compressus streak virus	ACSV
Bromus catharticus striate mosaic virus	BCSMV
Chickpea chlorosis Australia virus	CpCAV
Chickpea chlorosis virus	CpCV/A
Chickpea chlorosis virus	CpCV/B
Chickpea chlorosis virus	CpCV/C
Chickpea chlorosis virus	CpCV/E
Chickpea chlorotic dwarf virus	CpCDV/B
Chickpea chlorotic dwarf virus	CpCDV/A
Chickpea chlorotic dwarf virus	CpCDV/C
Chickpea chlorotic dwarf virus	CpCDV/D
Chickpea chlorotic dwarf virus	CpCDV/E
Chickpea redleaf virus	CpRLV
Chickpea yellow dwarf virus	CpYDV
Chickpea yellows virus	CpYV
Chloris striate mosaic virus	CSMV
Digitaria ciliaris striate mosaic virus	DCSMV/B
Digitaria ciliaris striate mosaic virus	DCSMV/A
Digitaria didactyla striate mosaic virus	DDSMV
Digitaria streak virus	DSV
Dragonfly-associated mastrevirus	DfasMV
Eragrostis minor streak virus	EMSV
Eragrostis streak virus	ESV
Maize streak Reunion virus	MSRV
Maize streak virus	MSV/A
Maize streak virus	MSV/B
Maize streak virus	MSV/C
Maize streak virus	MSV/D
Maize streak virus	MSV/E
Maize streak virus	MSV/F
Maize streak virus	MSV/G
Maize streak virus	MSV/H
Maize streak virus	MSV/I
Maize streak virus	MSV/J
Maize streak virus	MSV/K
Maize striate mosaic virus	MSMV
Miscanthus streak virus	MiSV
Oat dwarf virus	ODV
Panicum streak virus	PanSV/A
Panicum streak virus	PanSV/B
Panicum streak virus	PanSV/C
Panicum streak virus	PanSV/D
Panicum streak virus	PanSV/E
Panicum streak virus	PanSV/F
Panicum streak virus	PanSV/G
Panicum streak virus	PanSV/H
Panicum streak virus	PanSV/I
Paspalum dilatatum striate mosaic virus	PDSMV
Paspalum striate mosaic virus	PSMV/A
Paspalum striate mosaic virus	PSMV/B
Rice latent virus 1	RLV 1
Rice latent virus 2	RLV 2
Saccharum streak virus	SacSV
Sporobolus striate mosaic virus 1	SSMV1
Sporobolus striate mosaic virus 2	SSMV2
Sugarcane chlorotic streak virus	SCSV
Sugarcane streak Egypt virus	SSEV
Sugarcane streak Reunion virus	SSREV/A
Sugarcane streak Reunion virus	SSREV/B
Sugarcane streak virus	SSV/A
Sugarcane streak virus	SSV/B
Sugarcane striate virus	SStrV
Sugarcane white streak virus	SWSA/A
Sweet potato symptomless virus 1	SpSV/1
Switchgrass mosaic-associated virus	SgMaV
Tobacco yellow dwarf virus	TbYDV
Urochloa streak virus	USV
Wheat dwarf India virus	WDIV
Wheat dwarf virus	WDV/A
Wheat dwarf virus	WDV/B
Wheat dwarf virus	WDV/C
Wheat dwarf virus	WDV/D
Wheat dwarf virus	WDV/E
Tomato pseudo-curly top virus	TPCTV
Turnip curly top virus	TCTV/A
Turnip curly top virus	TCTV/B
Turnip curly top virus	TCTV/C
Turnip curly top virus	TCTV/D
Turnip leaf roll virus	TuLCV
Citrus chlorotic dwarf associated virus	CCDaV
Mulberry mosaic dwarf associated virus	MMDaV
Blackbird associated gemycircularvirus 1	BlGCV1
Bovine associated gemycircularvirus 1	BoGCV1
Bromus associated gemycircularvirus 1	BGCV1
Cassava associated gemycircularvirus 1	CaGCV1
Chickadee associated gemycircularvirus 1	ChGCV1
Chicken associated gemycircularvirus 1	ChiGCV1
Chicken associated gemycircularvirus 2	ChiGCV2
Dragonfly associated gemycircularvirus 1	DGCV1
Equine associated gemycircularvirus 1	EGCV1
Fur seal associated gemycircularvirus 1	FSGCV1
Gerygone associated gemycircularvirus 1	GGCV1
Gerygone associated gemycircularvirus 2	GGCV2
Gerygone associated gemycircularvirus 3	GGCV3
Hypericum associated gemycircularvirus 1	HGCV1
Lama associated gemycircularvirus 1	LGCV1
Mallard associated gemycircularvirus 1	MGCV1
Miniopterus associated gemycircularvirus 1	BtGCV1
Mongoose associated gemycircularvirus 1	MGCV1
Mosquito associated gemycircularvirus 1	MoGCV1
Odonata associated gemycircularvirus 1	OGCV1
Odonata associated gemycircularvirus 2	OGCV2
Poaceae associated gemycircularvirus 1	PGCV1
Porcine associated gemycircularvirus 1	PoGCV1
Porcine associated gemycircularvirus 2	PoGCV2
Pteropus associated gemycircularvirus 1	PtGCV1
Pteropus associated gemycircularvirus 2	PtGCV2
Pteropus associated gemycircularvirus 3	PtGCV3
Pteropus associated gemycircularvirus 4	PtGCV4
Pteropus associated gemycircularvirus 5	PtGCV5
Pteropus associated gemycircularvirus 6	PtGCV6
Pteropus associated gemycircularvirus 7	PtGCV7
Pteropus associated gemycircularvirus 8	PtGCV8
Pteropus associated gemycircularvirus 9	PtGCV9
Pteropus associated gemycircularvirus 10	PtGCV10
Rat associated gemycircularvirus 1	RGCV1
Sclerotinia gemycircularvirus 1	SSHDV1
Sewage derived gemycircularvirus 1	SeGCV1
Sewage derived gemycircularvirus 2	SeGCV2
Sewage derived gemycircularvirus 3	SeGCV3
Sewage derived gemycircularvirus 4	SeGCV4
Sewage derived gemycircularvirus 5	SeGCV5
Sheep associated gemycircularvirus 1	ShGCV1
Soybean associated gemycircularvirus 1	SoGCV1
Dragonfly associated gemyduguivirus 1	DGDV1
Canine associated gemygorvirus 1	CGGV1
Mallard associated gemygorvirus 1	MGGV1
Pteropus associated gemygorvirus 1	PtGGV1
Sewage derived gemygorvirus 1	SeGGV1
Starling associated gemygorvirus 1	StGGV1
Badger associated gemykibivirus 1	BGKV1
Black robin associated gemykibivirus 1	BRGKV1
Blackbird associated gemykibivirus 1	BbGKV1
Bovine associated gemykibivirus 1	BGKB1
Dragonfly associated gemykibivirus 1	DGKB1
Human associated gemykibivirus 1	HGKV1
Human associated gemykibivirus 2	HGKV2
Human associated gemykibivirus 3	HGKV3
Human associated gemykibivirus 4	HGKV4
Human associated gemykibivirus 5	HGKV5
Mongoose associated gemykibivirus 1	MGKV1
Pteropus associated gemykibivirus 1	PtGKV1
Rhinolophus associated gemykibivirus 1	RGKV1
Rhinolophus associated gemykibivirus 2	RGKV2
Sewage derived gemykibivirus 1	SeGKV1
Sewage derived gemykibivirus 2	SEGKV1
Pteropus associated gemykolovirus 1	PtGKoV1
Pteropus associated gemykolovirus 2	PtGKoV2
Bovine associated gemykrogvirus 1	BGKrV1
Caribou associated gemykrogvirus 1	BGKrV1
Sewage derived gemykrogvirus 1	SeBKrV1
Rabbit associated gemykroznavirus 1	RBKroV1
Ostrich associated gemytondvirus 1	OGTV1
Human associated gemyvongvirus 1	HGVV1
Pyrobaculum spherical virus	PSV
Thermoproteus tenax spherical virus 1	TTSV1
Sulfolobus newzealandicus droplet-shaped virus	SnDV
Aeropyrum pernix ovoid virus 1	ApOV1
Duck hepatitis B virus	DHBV
Duck hepatitis B virus	SHGHBV
Duck hepatitis B virus	SGHBV
Duck hepatitis B virus	CHBV
Duck hepatitis B virus	RGHBV
Heron hepatitis B virus	HHBV
Heron hepatitis B virus	STHBV
Parrot hepatitis B virus	parrot HBV
Capuchin monkey hepatitis B virus	CMHBV
Ground squirrel hepatitis virus	GSHV
Hepatitis B virus	HBV-D
Hepatitis B virus	HBV-A
Hepatitis B virus	HBV-B
Hepatitis B virus	HBV-C
Hepatitis B virus	HBV-E
Hepatitis B virus	HBV-F
Hepatitis B virus	HBV-G
Hepatitis B virus	HBV-H
Hepatitis B virus	HBV-gib I
Hepatitis B virus	HBV-gib II
Hepatitis B virus	HBV-gib III
Hepatitis B virus	HBV-gib IV
Hepatitis B virus	HBV-gib V
Hepatitis B virus	HBV-orangutan
Hepatitis B virus	chHBV
Hepatitis B virus	HBV-gor
Long-fingered bat hepatitis B virus	LFBHBV
Pomona bat hepatitis B virus	PBHBV
Roundleaf bat hepatitis B virus	RLBHBV
Roundleaf bat hepatitis B virus	HSBHBV
Tent-making bat hepatitis B virus	TMBHBV
Woodchuck hepatitis virus	WHV
Woolly monkey hepatitis B virus	WMHBV
Bluegill hepatitis B virus	BGHBV
Tibetan frog hepatitis B virus	TFHBV
White sucker hepatitis B virus	WSHBV
Glossina hytrovirus	GpSGHV
Glossina hytrovirus	GpSGHV
Musca hytrovirus	MdSGHV
Vibrio virus fs1	
Vibrio virus VGJ	
Ralstonia virus RS603	
Ralstonia virus RSM1	
Ralstonia virus RSM3	
Escherichia virus M13	
Escherichia virus I22	
Salmonella virus IKe	
Acholeplasma virus L51	
Vibrio virus fs2	
Vibrio virus VFJ	
Spiroplasma virus C74	
Spiroplasma virus R8A2B	
Spiroplasma virus SkV1CR23x	
Escherichia virus If1	
Propionibacterium virus B5	
Pseudomonas virus Pf1	
Pseudomonas virus Pf3	
Ralstonia virus PE226	
Ralstonia virus RSS1	
Spiroplasma virus SVTS2	
Stenotrophomonas virus PSH1	
Stenotrophomonas virus SMA6	
Stenotrophomonas virus SMA7	
Stenotrophomonas virus SMA9	
Thermus virus OH3	
Vibrio virus CTXphi	
Vibrio virus KSF1	
Vibrio virus VCY	
Vibrio virus Vf33	
Vibrio virus VfO3K6	
Xanthomonas virus Cf1c	
Xanthomonas virus Xf109	
Lymphocystis disease virus 1	LCDV1
Lymphocystis disease virus 2	LCDV-C
Lymphocystis disease virus 3	LCDV-Sa
Infectious spleen and kidney necrosis virus	ISKNV
Scale drop disease virus	SDDV
Ambystoma tigrinum virus	ATV
Common midwife toad virus	CMTV
Epizootic haematopoietic necrosis virus	EHNV
Frog virus 3	FV3
Santee-Cooper ranavirus	SCRV
Singapore grouper iridovirus	SGIV
Anopheles minimus iridovirus	AMIV
Invertebrate iridescent virus 3	IIV3; MIV
Invertebrate iridescent virus 9	IIV9
Invertebrate iridescent virus 22	IIV22
Invertebrate iridescent virus 25	IIV25
Decapod iridescent virus 1	SHIV
Invertebrate iridescent virus 6	IIV6; CIV
Invertebrate iridescent virus 31	IIV31
Cafeteriavirus-dependent mavirus	MRV
Mimivirus-dependent virus Sputnik	SV1
Mimivirus-dependent virus Zamilon	ZV
Marseillevirus marseillevirus	MVMV
Senegalvirus marseillevirus	SVMV
Lausannevirus	LV
Tunisvirus	TuV
Escherichia virus alpha3	
Escherichia virus ID21	
Escherichia virus ID32	
Escherichia virus ID62	
Escherichia virus NC28	
Escherichia virus NC29	
Escherichia virus NC35	
Escherichia virus phiK	
Escherichia virus St1	
Escherichia virus WA45	
Escherichia virus G4	
Escherichia virus ID52	
Escherichia virus Talmos	
Escherichia virus phiX174	
Bdellovibrio virus MAC1	
Bdellovibrio virus MH2K	
Chlamydia virus Chp1	
Chlamydia virus Chp2	
Chlamydia virus CPAR39	
Chlamydia virus CPG1	
Spiroplasma virus SpV4	
Cafeteria roenbergensis virus	CRV
Acanthamoeba polyphaga mimivirus	APMV
Abaca bunchy top virus	ABTV
Banana bunchy top virus	BBTV
Cardamom bushy dwarf virus	CdBDV
Black medic leaf roll virus	BMLRV
Faba bean necrotic stunt virus	FBNSV
Faba bean necrotic yellows virus	FBNYV
Faba bean yellow leaf virus	FBYLV
Milk vetch dwarf virus	MDV
Pea necrotic yellow dwarf virus	PNYDV
Pea yellow stunt virus	PYSV
Subterranean clover stunt virus	SCSV
Coconut foliar decay virus	CFDV
White spot syndrome virus	WSSV-CN
White spot syndrome virus	WSSV-TW
White spot syndrome virus	WSSV-TH
White spot syndrome virus	WSSV-K-LV1
White spot syndrome virus	WSSV-CN01
White spot syndrome virus	WSSV-CN02
White spot syndrome virus	WSSV-CN03
White spot syndrome virus	WSSV-CN04
White spot syndrome virus	WSSV-MEX2008
White spot syndrome virus	WSSV-EG3
White spot syndrome virus	WSSV-CN-Pc
White spot syndrome virus	WSSV-AU
White spot syndrome virus	WSSV-IN_AP4RU
White spot syndrome virus	WSSV-EC-15098
Gryllus bimaculatus nudivirus	GbNV
Oryctes rhinoceros nudivirus	OrNV
Heliothis zea nudivirus	HzNV
Heliothis zea nudivirus	HzNV
Sulfolobus ellipsoid virus 1	SEV1
Alphapapillomavirus 1	HPV32
Alphapapillomavirus 1	HPV42
Alphapapillomavirus 2	HPV10
Alphapapillomavirus 2	HPV160
Alphapapillomavirus 2	HPV94
Alphapapillomavirus 2	HPV125
Alphapapillomavirus 2	HPV117
Alphapapillomavirus 2	HPV78
Alphapapillomavirus 2	HPV28
Alphapapillomavirus 2	HPV29
Alphapapillomavirus 2	HPV3
Alphapapillomavirus 2	HPV77
Alphapapillomavirus 3	HPV61
Alphapapillomavirus 3	HPV83
Alphapapillomavirus 3	HPV84
Alphapapillomavirus 3	HPV86
Alphapapillomavirus 3	HPV89
Alphapapillomavirus 3	HPV87
Alphapapillomavirus 3	HPV81
Alphapapillomavirus 3	HPV62
Alphapapillomavirus 3	HPV102
Alphapapillomavirus 3	HPV114
Alphapapillomavirus 3	HPV72
Alphapapillomavirus 4	HPV2
Alphapapillomavirus 4	HPV57
Alphapapillomavirus 4	HPV27
Alphapapillomavirus 5	HPV26
Alphapapillomavirus 5	HPV69
Alphapapillomavirus 5	HPV82
Alphapapillomavirus 5	HPV51
Alphapapillomavirus 6	HPV30
Alphapapillomavirus 6	HPV66
Alphapapillomavirus 6	HPV53
Alphapapillomavirus 6	HPV56
Alphapapillomavirus 7	HPV18
Alphapapillomavirus 7	HPV85
Alphapapillomavirus 7	HPV68
Alphapapillomavirus 7	HPV97
Alphapapillomavirus 7	HPV39
Alphapapillomavirus 7	HPV70
Alphapapillomavirus 7	HPV45
Alphapapillomavirus 7	HPV59
Alphapapillomavirus 8	HPV7
Alphapapillomavirus 8	HPV91
Alphapapillomavirus 8	HPV43
Alphapapillomavirus 8	HPV40
Alphapapillomavirus 9	HPV16
Alphapapillomavirus 9	HPV67
Alphapapillomavirus 9	HPV58
